epi_week,country,state,loc,loc_type,disease,event,number,from_date,to_date,url
32015,189533,US,TN,MEMPHIS,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32016,189533,US,TN,MEMPHIS,CITY,DIPHTHERIA,DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32017,189533,US,WI,MILWAUKEE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,6,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32018,189532,US,MN,MINNEAPOLIS,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1895-08-03,1895-08-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32019,189532,US,MN,MINNEAPOLIS,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-03,1895-08-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32020,189532,US,MN,MINNEAPOLIS,CITY,DIPHTHERIA,DEATHS,1,1895-08-03,1895-08-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32021,189532,US,MN,MINNEAPOLIS,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,2,1895-08-03,1895-08-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32022,189533,US,TN,NASHVILLE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32023,189533,US,TN,NASHVILLE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32024,189533,US,TN,NASHVILLE,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,2,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32025,189533,US,MA,NEW BEDFORD,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32026,189533,US,MA,NEW BEDFORD,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32027,189533,US,CT,NEW HAVEN,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,4,1895-08-09,1895-08-15,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32028,189533,US,CT,NEW HAVEN,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-09,1895-08-15,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32029,189532,US,LA,NEW ORLEANS,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,17,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32030,189532,US,LA,NEW ORLEANS,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32031,189532,US,LA,NEW ORLEANS,CITY,DIPHTHERIA,DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32032,189532,US,LA,NEW ORLEANS,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32033,189533,US,RI,NEWPORT,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32034,189533,US,NY,NEW YORK,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,80,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32035,189533,US,NY,NEW YORK,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,9,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32036,189533,US,NY,NEW YORK,CITY,SCARLET FEVER,DEATHS,2,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32037,189533,US,NY,NEW YORK,CITY,DIPHTHERIA,DEATHS,23,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32038,189533,US,NY,NEW YORK,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,19,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32039,189533,US,PA,NORRISTOWN,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32040,189532,US,MA,NORTHAMPTON,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32041,189532,US,MA,NORTH ATTLEBORO,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32042,189533,US,NE,OMAHA,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32043,189533,US,NE,OMAHA,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,5,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32044,189532,US,IA,OTTUMWA,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32045,189532,US,IA,OTTUMWA,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32046,189532,US,FL,PENSACOLA,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32047,189532,US,FL,PENSACOLA,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32048,189532,US,ME,PORTLAND,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32049,189532,US,ME,PORTLAND,CITY,DIPHTHERIA,DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32050,189533,US,ME,PORTLAND,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32051,189533,US,RI,PROVIDENCE,CITY,SCARLET FEVER,DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32052,189533,US,RI,PROVIDENCE,CITY,DIPHTHERIA,DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32053,189532,US,CO,PUEBLO,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32054,189532,US,VA,RICHMOND,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32055,189532,US,VA,RICHMOND,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32056,189532,US,UT,SALT LAKE CITY,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32057,189532,US,CA,SAN FRANCISCO,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,16,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32058,189532,US,CA,SAN FRANCISCO,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,3,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32059,189533,US,PA,SCRANTON,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32060,189533,US,PA,SCRANTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32061,189533,US,PA,SCRANTON,CITY,SCARLET FEVER,DEATHS,2,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32062,189533,US,PA,SCRANTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32063,189532,US,LA,SHREVEPORT,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32064,189533,US,LA,SHREVEPORT,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32065,189532,US,SD,SIOUX FALLS,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32066,189531,US,MA,SOMERVILLE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1895-07-28,1895-08-03,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32067,189532,US,MA,SOMERVILLE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32068,189532,US,MA,SOMERVILLE,CITY,DIPHTHERIA,DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32069,189533,US,MA,SOMERVILLE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32070,189533,US,PA,SOUTH BETHLEHEM,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-12,1895-08-18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32071,189533,US,OH,TIFFIN,CITY,DIPHTHERIA,DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32072,189533,US,NY,UTICA,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32073,189532,US,DC,WASHINGTON,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,12,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32074,189532,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32075,189532,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32076,189532,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,2,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32077,189532,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32078,189533,US,DE,WILMINGTON,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32079,189533,US,DE,WILMINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32080,189533,US,MA,WOBURN,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32081,189532,US,MA,WORCESTER,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1895-08-03,1895-08-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32082,189532,US,MA,WORCESTER,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-03,1895-08-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32083,189533,US,NY,YONKERS,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1895-08-10,1895-08-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32084,189533,US,NY,YONKERS,CITY,DIPHTHERIA,DEATHS,1,1895-08-10,1895-08-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32085,189533,US,OH,YOUNGSTOWN,CITY,SCARLET FEVER,DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992091
32086,189533,US,PA,ALTOONA,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32087,189533,US,GA,AUGUSTA,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1895-08-10,1895-08-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32088,189533,US,GA,AUGUSTA,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-10,1895-08-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32089,189534,US,MD,BALTIMORE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,16,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32090,189534,US,MD,BALTIMORE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32091,189534,US,MD,BALTIMORE,CITY,DIPHTHERIA,DEATHS,6,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32092,189534,US,MD,BALTIMORE,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32093,189534,US,NY,BINGHAMTON,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32094,189534,US,NY,BINGHAMTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32095,189534,US,MA,BOSTON,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,25,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32096,189534,US,MA,BOSTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,6,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32097,189534,US,MA,BOSTON,CITY,SCARLET FEVER,DEATHS,1,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32098,189534,US,MA,BOSTON,CITY,DIPHTHERIA,DEATHS,13,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32099,189533,US,PA,BRADDOCK,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32100,189533,US,MA,BROCKTON,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32101,189534,US,NY,BROOKLYN,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,39,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32102,189534,US,NY,BROOKLYN,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32103,189534,US,NY,BROOKLYN,CITY,SCARLET FEVER,DEATHS,1,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32104,189534,US,NY,BROOKLYN,CITY,DIPHTHERIA,DEATHS,14,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32105,189534,US,NY,BROOKLYN,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,7,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32106,189534,US,MA,CAMBRIDGE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,4,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32107,189534,US,MA,CAMBRIDGE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32108,189534,US,MA,CAMBRIDGE,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32109,189532,US,SC,CHARLESTON,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,5,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32110,189532,US,SC,CHARLESTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-04,1895-08-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32111,189533,US,SC,CHARLESTON,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32112,189534,US,OH,CINCINNATI,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,9,1895-08-17,1895-08-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32113,189534,US,OH,CINCINNATI,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,3,1895-08-17,1895-08-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32114,189534,US,OH,CINCINNATI,CITY,DIPHTHERIA,DEATHS,2,1895-08-17,1895-08-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32115,189534,US,OH,CINCINNATI,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1895-08-17,1895-08-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32116,189534,US,OH,CLEVELAND,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,5,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32117,189534,US,OH,CLEVELAND,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32118,189534,US,OH,CLEVELAND,CITY,DIPHTHERIA,DEATHS,1,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32119,189534,US,IN,COLUMBUS,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32120,189534,US,OH,COLUMBUS,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32121,189534,US,OH,COLUMBUS,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32122,189534,US,OH,COLUMBUS,CITY,SCARLET FEVER,DEATHS,2,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32123,189533,US,IA,COUNCIL BLUFFS,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32124,189534,US,OH,DAYTON,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1895-08-16,1895-08-22,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32125,189534,US,OH,DAYTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-16,1895-08-22,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32126,189533,US,MA,EVERETT,CITY,DIPHTHERIA,DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32127,189534,US,MA,FALL RIVER,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32128,189534,US,MA,FALL RIVER,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32129,189534,US,MI,GRAND RAPIDS,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-18,1895-08-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32130,189533,US,NJ,HOBOKEN,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32131,189533,US,NJ,HOBOKEN,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32132,189533,US,NJ,HOBOKEN,CITY,SCARLET FEVER,DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32133,189533,US,NJ,HOBOKEN,CITY,DIPHTHERIA,DEATHS,2,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32134,189533,US,NY,JAMESTOWN,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1895-08-11,1895-08-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32135,189532,US,NJ,JERSEY CITY,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,7,1895-08-05,1895-08-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32136,189532,US,NJ,JERSEY CITY,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1895-08-05,1895-08-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32137,189532,US,NJ,JERSEY CITY,CITY,SCARLET FEVER,DEATHS,1,1895-08-05,1895-08-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32138,189532,US,NJ,JERSEY CITY,CITY,DIPHTHERIA,DEATHS,3,1895-08-05,1895-08-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32139,189532,US,NJ,JERSEY CITY,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1895-08-05,1895-08-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
32140,189533,US,NJ,JERSEY CITY,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,5,1895-08-12,1895-08-18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992096
