index;GROUP;CODE;NAME;YEAR;DISEASE;DENOMINATOR;INCIDENCE_RATE
1390;WHO Regions;afr;African Region;1981;DIPHTHERIA;per 1,000,000 total population;7,5
1391;WHO Regions;afr;African Region;1981;POLIO;per 1,000,000 <15 population;24,4
1392;WHO Regions;afr;African Region;1981;YFEVER;per 1,000,000 total population;0,4
1407;WHO Regions;amr;Region of the Americas;1981;NTETANUS;per 1000 live births;0,1
1408;WHO Regions;amr;Region of the Americas;1981;DIPHTHERIA;per 1,000,000 total population;7,6
1409;WHO Regions;amr;Region of the Americas;1981;PERTUSSIS;per 1,000,000 total population;181,9
1410;WHO Regions;amr;Region of the Americas;1981;MEASLES;per 1,000,000 total population;406,2
1411;WHO Regions;amr;Region of the Americas;1981;YFEVER;per 1,000,000 total population;1,3
1412;WHO Regions;amr;Region of the Americas;1981;POLIO;per 1,000,000 <15 population;7,2
1413;WHO Regions;amr;Region of the Americas;1981;TTETANUS;per 1,000,000 total population;10,1
1757;WHO Regions;emr;Eastern Mediterranean Region;1981;MEASLES;per 1,000,000 total population;1645,7
1758;WHO Regions;emr;Eastern Mediterranean Region;1981;YFEVER;per 1,000,000 total population;
1759;WHO Regions;emr;Eastern Mediterranean Region;1981;DIPHTHERIA;per 1,000,000 total population;72,5
1760;WHO Regions;emr;Eastern Mediterranean Region;1981;POLIO;per 1,000,000 <15 population;72,2
1761;WHO Regions;emr;Eastern Mediterranean Region;1981;TTETANUS;per 1,000,000 total population;66,9
1762;WHO Regions;emr;Eastern Mediterranean Region;1981;PERTUSSIS;per 1,000,000 total population;635,5
1763;WHO Regions;emr;Eastern Mediterranean Region;1981;NTETANUS;per 1000 live births;0,6
1792;WHO Regions;eur;European Region;1981;TTETANUS;per 1,000,000 total population;2,0
1793;WHO Regions;eur;European Region;1981;PERTUSSIS;per 1,000,000 total population;124,0
1794;WHO Regions;eur;European Region;1981;NTETANUS;per 1000 live births;0,0
1795;WHO Regions;eur;European Region;1981;YFEVER;per 1,000,000 total population;
1796;WHO Regions;eur;European Region;1981;POLIO;per 1,000,000 <15 population;2,8
1797;WHO Regions;eur;European Region;1981;DIPHTHERIA;per 1,000,000 total population;0,4
1798;WHO Regions;eur;European Region;1981;MEASLES;per 1,000,000 total population;980,1
2457;WHO Regions;sear;South-East Asia Region;1981;TTETANUS;per 1,000,000 total population;51,0
2458;WHO Regions;sear;South-East Asia Region;1981;YFEVER;per 1,000,000 total population;
2459;WHO Regions;sear;South-East Asia Region;1981;DIPHTHERIA;per 1,000,000 total population;30,6
2460;WHO Regions;sear;South-East Asia Region;1981;NTETANUS;per 1000 live births;0,3
2461;WHO Regions;sear;South-East Asia Region;1981;PERTUSSIS;per 1,000,000 total population;404,1
2462;WHO Regions;sear;South-East Asia Region;1981;MEASLES;per 1,000,000 total population;283,0
2463;WHO Regions;sear;South-East Asia Region;1981;POLIO;per 1,000,000 <15 population;92,9
2716;WHO Regions;wpr;Western Pacific Region;1981;NTETANUS;per 1000 live births;0,5
2717;WHO Regions;wpr;Western Pacific Region;1981;TTETANUS;per 1,000,000 total population;17,0
2718;WHO Regions;wpr;Western Pacific Region;1981;DIPHTHERIA;per 1,000,000 total population;10,1
2719;WHO Regions;wpr;Western Pacific Region;1981;POLIO;per 1,000,000 <15 population;24,6
2720;WHO Regions;wpr;Western Pacific Region;1981;YFEVER;per 1,000,000 total population;
2721;WHO Regions;wpr;Western Pacific Region;1981;MEASLES;per 1,000,000 total population;913,3
2722;WHO Regions;wpr;Western Pacific Region;1981;PERTUSSIS;per 1,000,000 total population;506,3
2765;WHO Regions;afr;African Region;1982;YFEVER;per 1,000,000 total population;1,5
2766;WHO Regions;afr;African Region;1982;POLIO;per 1,000,000 <15 population;21,9
2767;WHO Regions;afr;African Region;1982;MEASLES;per 1,000,000 total population;3391,1
2768;WHO Regions;afr;African Region;1982;DIPHTHERIA;per 1,000,000 total population;12,1
2769;WHO Regions;afr;African Region;1982;TTETANUS;per 1,000,000 total population;58,9
2770;WHO Regions;afr;African Region;1982;PERTUSSIS;per 1,000,000 total population;1188,8
2771;WHO Regions;afr;African Region;1982;NTETANUS;per 1000 live births;0,6
2786;WHO Regions;amr;Region of the Americas;1982;POLIO;per 1,000,000 <15 population;4,9
2787;WHO Regions;amr;Region of the Americas;1982;PERTUSSIS;per 1,000,000 total population;156,8
2788;WHO Regions;amr;Region of the Americas;1982;DIPHTHERIA;per 1,000,000 total population;6,5
2789;WHO Regions;amr;Region of the Americas;1982;MEASLES;per 1,000,000 total population;243,3
2790;WHO Regions;amr;Region of the Americas;1982;NTETANUS;per 1000 live births;0,1
2791;WHO Regions;amr;Region of the Americas;1982;YFEVER;per 1,000,000 total population;0,8
2792;WHO Regions;amr;Region of the Americas;1982;TTETANUS;per 1,000,000 total population;10,0
3136;WHO Regions;emr;Eastern Mediterranean Region;1982;NTETANUS;per 1000 live births;0,7
3137;WHO Regions;emr;Eastern Mediterranean Region;1982;PERTUSSIS;per 1,000,000 total population;645,9
3138;WHO Regions;emr;Eastern Mediterranean Region;1982;MEASLES;per 1,000,000 total population;1177,9
3139;WHO Regions;emr;Eastern Mediterranean Region;1982;DIPHTHERIA;per 1,000,000 total population;45,5
3140;WHO Regions;emr;Eastern Mediterranean Region;1982;YFEVER;per 1,000,000 total population;
3141;WHO Regions;emr;Eastern Mediterranean Region;1982;POLIO;per 1,000,000 <15 population;71,4
3142;WHO Regions;emr;Eastern Mediterranean Region;1982;TTETANUS;per 1,000,000 total population;76,0
3171;WHO Regions;eur;European Region;1982;MEASLES;per 1,000,000 total population;914,0
3172;WHO Regions;eur;European Region;1982;POLIO;per 1,000,000 <15 population;2,8
3173;WHO Regions;eur;European Region;1982;DIPHTHERIA;per 1,000,000 total population;0,4
3174;WHO Regions;eur;European Region;1982;YFEVER;per 1,000,000 total population;
3175;WHO Regions;eur;European Region;1982;NTETANUS;per 1000 live births;0,0
3176;WHO Regions;eur;European Region;1982;TTETANUS;per 1,000,000 total population;2,1
3177;WHO Regions;eur;European Region;1982;PERTUSSIS;per 1,000,000 total population;342,5
3836;WHO Regions;sear;South-East Asia Region;1982;POLIO;per 1,000,000 <15 population;63,0
3837;WHO Regions;sear;South-East Asia Region;1982;NTETANUS;per 1000 live births;0,3
3838;WHO Regions;sear;South-East Asia Region;1982;PERTUSSIS;per 1,000,000 total population;351,2
3839;WHO Regions;sear;South-East Asia Region;1982;MEASLES;per 1,000,000 total population;234,0
3840;WHO Regions;sear;South-East Asia Region;1982;DIPHTHERIA;per 1,000,000 total population;22,1
3841;WHO Regions;sear;South-East Asia Region;1982;YFEVER;per 1,000,000 total population;
3842;WHO Regions;sear;South-East Asia Region;1982;TTETANUS;per 1,000,000 total population;52,6
4095;WHO Regions;wpr;Western Pacific Region;1982;NTETANUS;per 1000 live births;0,5
4096;WHO Regions;wpr;Western Pacific Region;1982;POLIO;per 1,000,000 <15 population;22,4
4097;WHO Regions;wpr;Western Pacific Region;1982;YFEVER;per 1,000,000 total population;
4098;WHO Regions;wpr;Western Pacific Region;1982;TTETANUS;per 1,000,000 total population;21,3
4099;WHO Regions;wpr;Western Pacific Region;1982;MEASLES;per 1,000,000 total population;830,1
4100;WHO Regions;wpr;Western Pacific Region;1982;DIPHTHERIA;per 1,000,000 total population;10,4
4101;WHO Regions;wpr;Western Pacific Region;1982;PERTUSSIS;per 1,000,000 total population;429,5
4144;WHO Regions;afr;African Region;1983;MEASLES;per 1,000,000 total population;3305,1
4145;WHO Regions;afr;African Region;1983;NTETANUS;per 1000 live births;0,5
4146;WHO Regions;afr;African Region;1983;POLIO;per 1,000,000 <15 population;16,5
4147;WHO Regions;afr;African Region;1983;PERTUSSIS;per 1,000,000 total population;907,2
4148;WHO Regions;afr;African Region;1983;YFEVER;per 1,000,000 total population;7,5
4149;WHO Regions;afr;African Region;1983;DIPHTHERIA;per 1,000,000 total population;10,6
4150;WHO Regions;afr;African Region;1983;TTETANUS;per 1,000,000 total population;45,4
4165;WHO Regions;amr;Region of the Americas;1983;PERTUSSIS;per 1,000,000 total population;95,5
4166;WHO Regions;amr;Region of the Americas;1983;NTETANUS;per 1000 live births;0,1
4167;WHO Regions;amr;Region of the Americas;1983;TTETANUS;per 1,000,000 total population;9,4
4168;WHO Regions;amr;Region of the Americas;1983;POLIO;per 1,000,000 <15 population;5,2
4169;WHO Regions;amr;Region of the Americas;1983;DIPHTHERIA;per 1,000,000 total population;6,3
4170;WHO Regions;amr;Region of the Americas;1983;MEASLES;per 1,000,000 total population;213,9
4171;WHO Regions;amr;Region of the Americas;1983;YFEVER;per 1,000,000 total population;0,3
4515;WHO Regions;emr;Eastern Mediterranean Region;1983;TTETANUS;per 1,000,000 total population;62,7
4516;WHO Regions;emr;Eastern Mediterranean Region;1983;MEASLES;per 1,000,000 total population;1009,4
4517;WHO Regions;emr;Eastern Mediterranean Region;1983;POLIO;per 1,000,000 <15 population;40,6
4518;WHO Regions;emr;Eastern Mediterranean Region;1983;YFEVER;per 1,000,000 total population;
4519;WHO Regions;emr;Eastern Mediterranean Region;1983;NTETANUS;per 1000 live births;0,9
4520;WHO Regions;emr;Eastern Mediterranean Region;1983;DIPHTHERIA;per 1,000,000 total population;25,5
4521;WHO Regions;emr;Eastern Mediterranean Region;1983;PERTUSSIS;per 1,000,000 total population;426,4
4550;WHO Regions;eur;European Region;1983;PERTUSSIS;per 1,000,000 total population;249,5
4551;WHO Regions;eur;European Region;1983;NTETANUS;per 1000 live births;0,0
4552;WHO Regions;eur;European Region;1983;MEASLES;per 1,000,000 total population;1250,6
4553;WHO Regions;eur;European Region;1983;DIPHTHERIA;per 1,000,000 total population;0,9
4554;WHO Regions;eur;European Region;1983;YFEVER;per 1,000,000 total population;
4555;WHO Regions;eur;European Region;1983;TTETANUS;per 1,000,000 total population;2,0
4556;WHO Regions;eur;European Region;1983;POLIO;per 1,000,000 <15 population;2,1
5215;WHO Regions;sear;South-East Asia Region;1983;NTETANUS;per 1000 live births;0,2
5216;WHO Regions;sear;South-East Asia Region;1983;POLIO;per 1,000,000 <15 population;56,9
5217;WHO Regions;sear;South-East Asia Region;1983;PERTUSSIS;per 1,000,000 total population;236,5
5218;WHO Regions;sear;South-East Asia Region;1983;YFEVER;per 1,000,000 total population;
5219;WHO Regions;sear;South-East Asia Region;1983;MEASLES;per 1,000,000 total population;184,0
5220;WHO Regions;sear;South-East Asia Region;1983;TTETANUS;per 1,000,000 total population;45,1
5221;WHO Regions;sear;South-East Asia Region;1983;DIPHTHERIA;per 1,000,000 total population;18,1
5474;WHO Regions;wpr;Western Pacific Region;1983;DIPHTHERIA;per 1,000,000 total population;9,6
5475;WHO Regions;wpr;Western Pacific Region;1983;NTETANUS;per 1000 live births;0,4
5476;WHO Regions;wpr;Western Pacific Region;1983;TTETANUS;per 1,000,000 total population;14,9
5477;WHO Regions;wpr;Western Pacific Region;1983;YFEVER;per 1,000,000 total population;
5478;WHO Regions;wpr;Western Pacific Region;1983;POLIO;per 1,000,000 <15 population;11,2
5479;WHO Regions;wpr;Western Pacific Region;1983;PERTUSSIS;per 1,000,000 total population;339,9
5480;WHO Regions;wpr;Western Pacific Region;1983;MEASLES;per 1,000,000 total population;737,6
5523;WHO Regions;afr;African Region;1984;MEASLES;per 1,000,000 total population;2606,8
5524;WHO Regions;afr;African Region;1984;YFEVER;per 1,000,000 total population;9,0
5525;WHO Regions;afr;African Region;1984;PERTUSSIS;per 1,000,000 total population;692,4
5526;WHO Regions;afr;African Region;1984;DIPHTHERIA;per 1,000,000 total population;14,7
5527;WHO Regions;afr;African Region;1984;TTETANUS;per 1,000,000 total population;42,6
5528;WHO Regions;afr;African Region;1984;NTETANUS;per 1000 live births;0,5
5529;WHO Regions;afr;African Region;1984;POLIO;per 1,000,000 <15 population;15,5
5544;WHO Regions;amr;Region of the Americas;1984;TTETANUS;per 1,000,000 total population;9,4
5545;WHO Regions;amr;Region of the Americas;1984;YFEVER;per 1,000,000 total population;0,5
5546;WHO Regions;amr;Region of the Americas;1984;DIPHTHERIA;per 1,000,000 total population;5,4
5547;WHO Regions;amr;Region of the Americas;1984;POLIO;per 1,000,000 <15 population;2,8
5548;WHO Regions;amr;Region of the Americas;1984;NTETANUS;per 1000 live births;0,1
5549;WHO Regions;amr;Region of the Americas;1984;MEASLES;per 1,000,000 total population;310,5
5550;WHO Regions;amr;Region of the Americas;1984;PERTUSSIS;per 1,000,000 total population;95,6
5894;WHO Regions;emr;Eastern Mediterranean Region;1984;POLIO;per 1,000,000 <15 population;25,7
5895;WHO Regions;emr;Eastern Mediterranean Region;1984;NTETANUS;per 1000 live births;0,9
5896;WHO Regions;emr;Eastern Mediterranean Region;1984;DIPHTHERIA;per 1,000,000 total population;17,2
5897;WHO Regions;emr;Eastern Mediterranean Region;1984;PERTUSSIS;per 1,000,000 total population;333,2
5898;WHO Regions;emr;Eastern Mediterranean Region;1984;MEASLES;per 1,000,000 total population;712,5
5899;WHO Regions;emr;Eastern Mediterranean Region;1984;TTETANUS;per 1,000,000 total population;57,1
5900;WHO Regions;emr;Eastern Mediterranean Region;1984;YFEVER;per 1,000,000 total population;
5929;WHO Regions;eur;European Region;1984;POLIO;per 1,000,000 <15 population;1,1
5930;WHO Regions;eur;European Region;1984;PERTUSSIS;per 1,000,000 total population;170,1
5931;WHO Regions;eur;European Region;1984;DIPHTHERIA;per 1,000,000 total population;0,4
5932;WHO Regions;eur;European Region;1984;TTETANUS;per 1,000,000 total population;1,8
5933;WHO Regions;eur;European Region;1984;YFEVER;per 1,000,000 total population;
5934;WHO Regions;eur;European Region;1984;MEASLES;per 1,000,000 total population;700,6
5935;WHO Regions;eur;European Region;1984;NTETANUS;per 1000 live births;0,0
6594;WHO Regions;sear;South-East Asia Region;1984;YFEVER;per 1,000,000 total population;
6595;WHO Regions;sear;South-East Asia Region;1984;MEASLES;per 1,000,000 total population;261,1
6596;WHO Regions;sear;South-East Asia Region;1984;TTETANUS;per 1,000,000 total population;37,7
6597;WHO Regions;sear;South-East Asia Region;1984;PERTUSSIS;per 1,000,000 total population;189,4
6598;WHO Regions;sear;South-East Asia Region;1984;POLIO;per 1,000,000 <15 population;52,3
6599;WHO Regions;sear;South-East Asia Region;1984;NTETANUS;per 1000 live births;0,3
6600;WHO Regions;sear;South-East Asia Region;1984;DIPHTHERIA;per 1,000,000 total population;19,7
6853;WHO Regions;wpr;Western Pacific Region;1984;TTETANUS;per 1,000,000 total population;17,5
6854;WHO Regions;wpr;Western Pacific Region;1984;DIPHTHERIA;per 1,000,000 total population;6,0
6855;WHO Regions;wpr;Western Pacific Region;1984;PERTUSSIS;per 1,000,000 total population;231,8
6856;WHO Regions;wpr;Western Pacific Region;1984;MEASLES;per 1,000,000 total population;651,4
6857;WHO Regions;wpr;Western Pacific Region;1984;POLIO;per 1,000,000 <15 population;9,6
6858;WHO Regions;wpr;Western Pacific Region;1984;YFEVER;per 1,000,000 total population;
6859;WHO Regions;wpr;Western Pacific Region;1984;NTETANUS;per 1000 live births;0,5
6902;WHO Regions;afr;African Region;1985;POLIO;per 1,000,000 <15 population;20,7
6903;WHO Regions;afr;African Region;1985;PERTUSSIS;per 1,000,000 total population;652,6
6904;WHO Regions;afr;African Region;1985;TTETANUS;per 1,000,000 total population;37,1
6905;WHO Regions;afr;African Region;1985;DIPHTHERIA;per 1,000,000 total population;14,0
6906;WHO Regions;afr;African Region;1985;YFEVER;per 1,000,000 total population;0,1
6907;WHO Regions;afr;African Region;1985;MEASLES;per 1,000,000 total population;2777,9
6908;WHO Regions;afr;African Region;1985;NTETANUS;per 1000 live births;0,4
6923;WHO Regions;amr;Region of the Americas;1985;DIPHTHERIA;per 1,000,000 total population;4,9
6924;WHO Regions;amr;Region of the Americas;1985;TTETANUS;per 1,000,000 total population;8,4
6925;WHO Regions;amr;Region of the Americas;1985;YFEVER;per 1,000,000 total population;0,6
6926;WHO Regions;amr;Region of the Americas;1985;MEASLES;per 1,000,000 total population;300,9
6927;WHO Regions;amr;Region of the Americas;1985;PERTUSSIS;per 1,000,000 total population;84,3
6928;WHO Regions;amr;Region of the Americas;1985;POLIO;per 1,000,000 <15 population;3,4
6929;WHO Regions;amr;Region of the Americas;1985;NTETANUS;per 1000 live births;0,1
7273;WHO Regions;emr;Eastern Mediterranean Region;1985;YFEVER;per 1,000,000 total population;
7274;WHO Regions;emr;Eastern Mediterranean Region;1985;NTETANUS;per 1000 live births;0,8
7275;WHO Regions;emr;Eastern Mediterranean Region;1985;POLIO;per 1,000,000 <15 population;40,4
7276;WHO Regions;emr;Eastern Mediterranean Region;1985;PERTUSSIS;per 1,000,000 total population;353,1
7277;WHO Regions;emr;Eastern Mediterranean Region;1985;MEASLES;per 1,000,000 total population;727,4
7278;WHO Regions;emr;Eastern Mediterranean Region;1985;TTETANUS;per 1,000,000 total population;94,5
7279;WHO Regions;emr;Eastern Mediterranean Region;1985;DIPHTHERIA;per 1,000,000 total population;27,1
7308;WHO Regions;eur;European Region;1985;NTETANUS;per 1000 live births;0,0
7309;WHO Regions;eur;European Region;1985;MEASLES;per 1,000,000 total population;774,5
7310;WHO Regions;eur;European Region;1985;POLIO;per 1,000,000 <15 population;0,9
7311;WHO Regions;eur;European Region;1985;TTETANUS;per 1,000,000 total population;1,7
7312;WHO Regions;eur;European Region;1985;DIPHTHERIA;per 1,000,000 total population;0,4
7313;WHO Regions;eur;European Region;1985;PERTUSSIS;per 1,000,000 total population;256,3
7314;WHO Regions;eur;European Region;1985;YFEVER;per 1,000,000 total population;
7973;WHO Regions;sear;South-East Asia Region;1985;MEASLES;per 1,000,000 total population;206,4
7974;WHO Regions;sear;South-East Asia Region;1985;YFEVER;per 1,000,000 total population;
7975;WHO Regions;sear;South-East Asia Region;1985;TTETANUS;per 1,000,000 total population;39,8
7976;WHO Regions;sear;South-East Asia Region;1985;NTETANUS;per 1000 live births;0,2
7977;WHO Regions;sear;South-East Asia Region;1985;PERTUSSIS;per 1,000,000 total population;189,9
7978;WHO Regions;sear;South-East Asia Region;1985;POLIO;per 1,000,000 <15 population;49,9
7979;WHO Regions;sear;South-East Asia Region;1985;DIPHTHERIA;per 1,000,000 total population;16,3
8232;WHO Regions;wpr;Western Pacific Region;1985;POLIO;per 1,000,000 <15 population;11,9
8233;WHO Regions;wpr;Western Pacific Region;1985;NTETANUS;per 1000 live births;0,5
8234;WHO Regions;wpr;Western Pacific Region;1985;TTETANUS;per 1,000,000 total population;19,7
8235;WHO Regions;wpr;Western Pacific Region;1985;MEASLES;per 1,000,000 total population;453,2
8236;WHO Regions;wpr;Western Pacific Region;1985;DIPHTHERIA;per 1,000,000 total population;4,2
8237;WHO Regions;wpr;Western Pacific Region;1985;PERTUSSIS;per 1,000,000 total population;174,1
8238;WHO Regions;wpr;Western Pacific Region;1985;YFEVER;per 1,000,000 total population;
8281;WHO Regions;afr;African Region;1986;YFEVER;per 1,000,000 total population;15,4
8282;WHO Regions;afr;African Region;1986;NTETANUS;per 1000 live births;0,4
8283;WHO Regions;afr;African Region;1986;PERTUSSIS;per 1,000,000 total population;462,8
8284;WHO Regions;afr;African Region;1986;MEASLES;per 1,000,000 total population;1576,0
8285;WHO Regions;afr;African Region;1986;DIPHTHERIA;per 1,000,000 total population;7,1
8286;WHO Regions;afr;African Region;1986;POLIO;per 1,000,000 <15 population;17,5
8287;WHO Regions;afr;African Region;1986;TTETANUS;per 1,000,000 total population;29,8
8302;WHO Regions;amr;Region of the Americas;1986;DIPHTHERIA;per 1,000,000 total population;3,6
8303;WHO Regions;amr;Region of the Americas;1986;POLIO;per 1,000,000 <15 population;4,3
8304;WHO Regions;amr;Region of the Americas;1986;TTETANUS;per 1,000,000 total population;7,1
8305;WHO Regions;amr;Region of the Americas;1986;YFEVER;per 1,000,000 total population;0,8
8306;WHO Regions;amr;Region of the Americas;1986;MEASLES;per 1,000,000 total population;337,2
8307;WHO Regions;amr;Region of the Americas;1986;NTETANUS;per 1000 live births;0,1
8308;WHO Regions;amr;Region of the Americas;1986;PERTUSSIS;per 1,000,000 total population;70,2
8652;WHO Regions;emr;Eastern Mediterranean Region;1986;MEASLES;per 1,000,000 total population;526,6
8653;WHO Regions;emr;Eastern Mediterranean Region;1986;TTETANUS;per 1,000,000 total population;67,7
8654;WHO Regions;emr;Eastern Mediterranean Region;1986;PERTUSSIS;per 1,000,000 total population;314,6
8655;WHO Regions;emr;Eastern Mediterranean Region;1986;YFEVER;per 1,000,000 total population;
8656;WHO Regions;emr;Eastern Mediterranean Region;1986;DIPHTHERIA;per 1,000,000 total population;21,1
8657;WHO Regions;emr;Eastern Mediterranean Region;1986;NTETANUS;per 1000 live births;1,0
8658;WHO Regions;emr;Eastern Mediterranean Region;1986;POLIO;per 1,000,000 <15 population;27,5
8687;WHO Regions;eur;European Region;1986;MEASLES;per 1,000,000 total population;871,7
8688;WHO Regions;eur;European Region;1986;DIPHTHERIA;per 1,000,000 total population;0,1
8689;WHO Regions;eur;European Region;1986;POLIO;per 1,000,000 <15 population;0,3
8690;WHO Regions;eur;European Region;1986;YFEVER;per 1,000,000 total population;
8691;WHO Regions;eur;European Region;1986;PERTUSSIS;per 1,000,000 total population;291,9
8692;WHO Regions;eur;European Region;1986;NTETANUS;per 1000 live births;0,0
8693;WHO Regions;eur;European Region;1986;TTETANUS;per 1,000,000 total population;1,5
9352;WHO Regions;sear;South-East Asia Region;1986;NTETANUS;per 1000 live births;0,2
9353;WHO Regions;sear;South-East Asia Region;1986;POLIO;per 1,000,000 <15 population;43,9
9354;WHO Regions;sear;South-East Asia Region;1986;MEASLES;per 1,000,000 total population;166,5
9355;WHO Regions;sear;South-East Asia Region;1986;PERTUSSIS;per 1,000,000 total population;175,6
9356;WHO Regions;sear;South-East Asia Region;1986;TTETANUS;per 1,000,000 total population;33,4
9357;WHO Regions;sear;South-East Asia Region;1986;DIPHTHERIA;per 1,000,000 total population;10,2
9358;WHO Regions;sear;South-East Asia Region;1986;YFEVER;per 1,000,000 total population;
9611;WHO Regions;wpr;Western Pacific Region;1986;TTETANUS;per 1,000,000 total population;16,9
9612;WHO Regions;wpr;Western Pacific Region;1986;YFEVER;per 1,000,000 total population;
9613;WHO Regions;wpr;Western Pacific Region;1986;NTETANUS;per 1000 live births;0,5
9614;WHO Regions;wpr;Western Pacific Region;1986;PERTUSSIS;per 1,000,000 total population;112,2
9615;WHO Regions;wpr;Western Pacific Region;1986;DIPHTHERIA;per 1,000,000 total population;3,4
9616;WHO Regions;wpr;Western Pacific Region;1986;POLIO;per 1,000,000 <15 population;9,2
9617;WHO Regions;wpr;Western Pacific Region;1986;MEASLES;per 1,000,000 total population;268,1
9660;WHO Regions;afr;African Region;1987;POLIO;per 1,000,000 <15 population;14,0
9661;WHO Regions;afr;African Region;1987;MEASLES;per 1,000,000 total population;1448,2
9662;WHO Regions;afr;African Region;1987;YFEVER;per 1,000,000 total population;26,3
9663;WHO Regions;afr;African Region;1987;NTETANUS;per 1000 live births;0,5
9664;WHO Regions;afr;African Region;1987;DIPHTHERIA;per 1,000,000 total population;4,1
9665;WHO Regions;afr;African Region;1987;PERTUSSIS;per 1,000,000 total population;423,5
9666;WHO Regions;afr;African Region;1987;TTETANUS;per 1,000,000 total population;38,8
9681;WHO Regions;amr;Region of the Americas;1987;DIPHTHERIA;per 1,000,000 total population;2,6
9682;WHO Regions;amr;Region of the Americas;1987;NTETANUS;per 1000 live births;0,1
9683;WHO Regions;amr;Region of the Americas;1987;MEASLES;per 1,000,000 total population;220,9
